id	type	license	datasetID	basisOfRecord	occurrenceID	occurrenceRemarks	sex	lifeStage	reproductiveCondition	organismName	samplingProtocol	eventDateRange	decimalLatitude	decimalLongitude	geodeticDatum	scientificNameID	scientificName	taxonRank	footprintWKT
F53:capture1	capture	https://creativecommons.org/publicdomain/zero/1.0/	doi:10.5441/001/1.7d8301h2	HumanObservation	F53:capture1:2014-02-11		f	adult	reproductive w/1+ dependent cub	F53	Lotek GPS3300S collar deployed on free-ranging animal. GPS scheduled to collect 4-hourly fixes, activity sensor scheduled to collect 5-min averages.	2014-02-11T00:00:00Z	38.285348	-112.025544	WGS84	TSN 552479 (itis.gov)	Puma concolor	species	POINT (-112.0255436 38.2853475)
F53:recovery1	recovery	https://creativecommons.org/publicdomain/zero/1.0/	doi:10.5441/001/1.7d8301h2	HumanObservation	F53:recovery1:2014-11-05	Collar removed. Alive at the time of collar recovery.	f	adult		F53		2014-11-05T00:00:00Z	38.439889	-111.979051	WGS84	TSN 552479 (itis.gov)	Puma concolor	species	POINT (-111.9790506 38.4398889)
IdCoy_P3_1:capture1	capture	https://creativecommons.org/publicdomain/zero/1.0/	doi:10.5441/001/1.7d8301h2	HumanObservation	IdCoy_P3_1:capture1:2004-12-27					IdCoy_P3_1	Lotek GPS collar deployed on free-ranging animal. Scheduled to collect location fixes every 5 min.	2004-12-27T00:00:00Z	43.805269	-112.711906	WGS84	TSN 180599 (itis.gov)	Canis latrans	species	POINT (-112.7119061888433 43.80526931075418)
IdCoy_P3_1:recovery1	recovery	https://creativecommons.org/publicdomain/zero/1.0/	doi:10.5441/001/1.7d8301h2	HumanObservation	IdCoy_P3_1:recovery1:2005-02-04	Collar removed.				IdCoy_P3_1		2005-02-04T23:59:00Z	43.818864	-112.702948	WGS84	TSN 180599 (itis.gov)	Canis latrans	species	POINT (-112.7029480835204 43.81886351026954)
IdCoy_P3_1:capture2	capture	https://creativecommons.org/publicdomain/zero/1.0/	doi:10.5441/001/1.7d8301h2	HumanObservation	IdCoy_P3_1:capture2:2005-05-06					IdCoy_P3_1	Lotek GPS collar deployed on free-ranging animal. Scheduled to collect location fixes every 5 min.	2005-05-06T00:00:00Z	43.802316	-112.687070	WGS84	TSN 180599 (itis.gov)	Canis latrans	species	POINT (-112.6870697787914 43.80231630697416)
IdCoy_P3_1:recovery2	recovery	https://creativecommons.org/publicdomain/zero/1.0/	doi:10.5441/001/1.7d8301h2	HumanObservation	IdCoy_P3_1:recovery2:2005-06-29	Collar removed.				IdCoy_P3_1		2005-06-29T23:59:00Z	43.799434	-112.726385	WGS84	TSN 180599 (itis.gov)	Canis latrans	species	POINT (-112.7263850951504 43.79943410541192)
F53:deployment1	occurrence	https://creativecommons.org/publicdomain/zero/1.0/	doi:10.5441/001/1.7d8301h2	MachineObservation	F53:deployment1:2014-02-11		f	adult		F53		2014-02-11T21:35:42Z/2014-02-11T23:01:01Z	38.285300	-112.025614	WGS84	TSN 552479 (itis.gov)	Puma concolor	species	LINESTRING (-112.0255436 38.2853475, -112.0256839 38.2852533)
F53:deployment1	occurrence	https://creativecommons.org/publicdomain/zero/1.0/	doi:10.5441/001/1.7d8301h2	MachineObservation	F53:deployment1:2014-02-12		f	adult		F53		2014-02-12T03:01:18Z/2014-02-12T19:00:59Z	38.286172	-112.025735	WGS84	TSN 552479 (itis.gov)	Puma concolor	species	POLYGON ((-112.0256564 38.2854494, -112.0258236 38.2866822, -112.0259192 38.2875511, -112.0256297 38.2856031, -112.0256564 38.2854494))
F53:deployment1	occurrence	https://creativecommons.org/publicdomain/zero/1.0/	doi:10.5441/001/1.7d8301h2	MachineObservation	F53:deployment1:2014-02-13		f	adult		F53		2014-02-13T03:01:00Z/2014-02-13T23:01:21Z	38.282695	-112.011487	WGS84	TSN 552479 (itis.gov)	Puma concolor	species	POLYGON ((-112.0143667 38.2749886, -112.0228786 38.2882522, -112.0165386 38.2903081, -111.9918983 38.2820444, -112.0143667 38.2749886))
F53:deployment1	occurrence	https://creativecommons.org/publicdomain/zero/1.0/	doi:10.5441/001/1.7d8301h2	MachineObservation	F53:deployment1:2014-02-14		f	adult		F53		2014-02-14T03:01:08Z/2014-02-14T23:01:23Z	38.273865	-112.015910	WGS84	TSN 552479 (itis.gov)	Puma concolor	species	POLYGON ((-112.0183747 38.2726803, -112.0173572 38.2734231, -112.0144706 38.2747342, -112.0138572 38.2746819, -112.0138561 38.2746617, -112.017545 38.2730114, -112.0183747 38.2726803))
